Scale,Query,Dim,Mode,IC_id,EOC,WOC,CPC,FPC,TOC
10,7,4,AP Nexus,13,404.0,334.0,2.0,404.0,738.0
10,7,4,AP Nexus,14,1.0,0.0,1.0,0.0,1.0
10,7,4,AP Nexus,-1,484967.0,364363.0,101.0,3598518.0,849330.0
10,7,4,GP Nexus,0,13263.0,6780.0,11.0,132630.0,20043.0
10,7,4,GP Nexus,1,15509.0,14205.0,27.0,403234.0,29714.0
10,7,4,GP Nexus,2,14430.0,9204.0,13.0,173160.0,23634.0
10,7,4,GP Nexus,3,13631.0,8065.0,13.0,163572.0,21696.0
10,7,4,GP Nexus,4,12780.0,7664.0,13.0,153360.0,20444.0
10,7,4,GP Nexus,5,8948.0,5478.0,8.0,62636.0,14426.0
10,7,4,GP Nexus,6,5971.0,3754.0,7.0,35826.0,9725.0
10,7,4,GP Nexus,7,3741.0,2435.0,7.0,22446.0,6176.0
10,7,4,GP Nexus,8,2376.0,1497.0,7.0,14256.0,3873.0
10,7,4,GP Nexus,9,1235.0,820.0,7.0,7410.0,2055.0
10,7,4,GP Nexus,10,535.0,389.0,11.0,5350.0,924.0
10,7,4,GP Nexus,11,168.0,141.0,5.0,672.0,309.0
10,7,4,GP Nexus,12,31.0,26.0,2.0,31.0,57.0
10,7,4,GP Nexus,13,2.0,1.0,1.0,0.0,3.0
10,7,4,GP Nexus,14,1.0,0.0,1.0,0.0,1.0
10,7,4,GP Nexus,-1,92621.0,60459.0,133.0,1174583.0,153080.0
10,7,4,GP AdaNexus,0,3188.8491567206725,4131.821443711076,11.0,31888.491567206725,7320.670600431749
10,7,4,GP AdaNexus,1,214.76558102307808,1693.3107295716757,24.0,4939.608363530796,1908.0763105947537
10,7,4,GP AdaNexus,2,2353.896883477684,4343.61798324846,11.0,23538.96883477684,6697.514866726144
10,7,4,GP AdaNexus,3,2762.684112278734,4342.596501818093,11.0,27626.84112278734,7105.280614096828
10,7,4,GP AdaNexus,4,2640.9604665862266,4147.695938841402,10.0,23768.64419927604,6788.656405427628
10,7,4,GP AdaNexus,5,2257.7000891480534,3253.403059925482,7.0,13546.200534888321,5511.103149073535
10,7,4,GP AdaNexus,6,1863.369729052596,2457.183542436535,7.0,11180.218374315577,4320.553271489131
10,7,4,GP AdaNexus,7,1456.9893970737733,1760.025991279794,7.0,8741.93638244264,3217.0153883535672
10,7,4,GP AdaNexus,8,1380.937496433744,1333.479439800975,7.0,8285.624978602464,2714.416936234719
10,7,4,GP AdaNexus,9,961.4311915565389,830.7477704381316,7.0,5768.587149339233,1792.1789619946705
10,7,4,GP AdaNexus,10,516.2191744065367,425.402991763765,9.0,4129.753395252294,941.6221661703016
10,7,4,GP AdaNexus,11,134.73434311780085,134.49532104020187,5.0,538.9373724712034,269.2296641580027
10,7,4,GP AdaNexus,12,80.1779550396606,44.45845592759903,2.0,80.1779550396606,124.63641096725964
10,7,4,GP AdaNexus,13,78.12499999999999,8.10524721656881,1.0,0.0,86.2302472165688
10,7,4,GP AdaNexus,14,1.0,0.0,1.0,0.0,1.0
10,7,4,GP AdaNexus,-1,19891.8405759151,28906.34441701976,120.0,164033.99022992916,48798.18499293486
125,7,4,AP Nexus,0,28146.0,7135.0,13.0,337752.0,35281.0
125,7,4,AP Nexus,1,39797.0,24082.0,10.0,358173.0,63879.0
125,7,4,AP Nexus,2,44894.0,43270.0,10.0,404046.0,88164.0
125,7,4,AP Nexus,3,73260.0,45593.0,10.0,659340.0,118853.0
125,7,4,AP Nexus,4,70548.0,44847.0,9.0,564384.0,115395.0
125,7,4,AP Nexus,5,61795.0,43432.0,8.0,432565.0,105227.0
125,7,4,AP Nexus,6,51941.0,41029.0,8.0,363587.0,92970.0
125,7,4,AP Nexus,7,42413.0,37726.0,7.0,254478.0,80139.0
125,7,4,AP Nexus,8,35042.0,33595.0,7.0,210252.0,68637.0
125,7,4,AP Nexus,9,27118.0,26150.0,6.0,135590.0,53268.0
125,7,4,AP Nexus,10,18738.0,16983.0,6.0,93690.0,35721.0
125,7,4,AP Nexus,11,9397.0,7901.0,4.0,28191.0,17298.0
125,7,4,AP Nexus,12,1861.0,1354.0,4.0,5583.0,3215.0
125,7,4,AP Nexus,13,1.0,0.0,1.0,0.0,1.0
125,7,4,AP Nexus,-1,504951.0,373097.0,103.0,3847631.0,878048.0
125,7,4,GP Nexus,0,14661.0,10873.0,24.0,337203.0,25534.0
125,7,4,GP Nexus,1,14026.0,8528.0,21.0,280520.0,22554.0
125,7,4,GP Nexus,2,13768.0,8243.0,17.0,220288.0,22011.0
125,7,4,GP Nexus,3,13510.0,7736.0,15.0,189140.0,21246.0
125,7,4,GP Nexus,4,10751.0,6202.0,12.0,118261.0,16953.0
125,7,4,GP Nexus,5,7360.0,4325.0,10.0,66240.0,11685.0
125,7,4,GP Nexus,6,4770.0,2871.0,10.0,42930.0,7641.0
125,7,4,GP Nexus,7,2873.0,1786.0,6.0,14365.0,4659.0
125,7,4,GP Nexus,8,1561.0,1016.0,5.0,6244.0,2577.0
125,7,4,GP Nexus,9,726.0,507.0,5.0,2904.0,1233.0
125,7,4,GP Nexus,10,260.0,205.0,5.0,1040.0,465.0
125,7,4,GP Nexus,11,56.0,55.0,4.0,168.0,111.0
125,7,4,GP Nexus,12,6.0,3.0,3.0,12.0,9.0
125,7,4,GP Nexus,13,1.0,0.0,1.0,0.0,1.0
125,7,4,GP Nexus,-1,84329.0,52350.0,138.0,1279315.0,136679.0
125,7,4,GP AdaNexus,0,1220.602831716656,3488.097974248877,28.0,32956.27645634971,4708.700805965533
125,7,4,GP AdaNexus,1,2640.5585703480765,4387.8465849994955,22.0,55451.72997730961,7028.405155347572
125,7,4,GP AdaNexus,2,2710.2456184626667,4358.0585603866275,14.0,35233.19304001467,7068.304178849294
125,7,4,GP AdaNexus,3,2901.676305345004,4332.522800897951,14.0,37721.79196948505,7234.199106242955
125,7,4,GP AdaNexus,4,2669.434854360678,3723.992125393241,10.0,24024.913689246103,6393.426979753919
125,7,4,GP AdaNexus,5,2297.2571483269917,2892.3482850947653,8.0,16080.800038288942,5189.605433421757
125,7,4,GP AdaNexus,6,1913.955768797755,2158.547761902079,9.0,15311.64615038204,4072.503530699834
125,7,4,GP AdaNexus,7,1516.8727144692666,1523.2359741601283,6.0,7584.363572346333,3040.108688629395
125,7,4,GP AdaNexus,8,1103.2024270066067,987.1904098923965,5.0,4412.809708026427,2090.392836899003
125,7,4,GP AdaNexus,9,673.5040310652536,551.6084880355801,5.0,2694.0161242610143,1225.1125191008337
125,7,4,GP AdaNexus,10,253.2434647864781,219.87417235328323,5.0,1012.9738591459125,473.1176371397613
125,7,4,GP AdaNexus,11,10.539975497418743,24.073127939657798,4.0,31.619926492256226,34.61310343707654
125,7,4,GP AdaNexus,12,159.28002317650572,18.75,3.0,318.56004635301144,178.03002317650572
125,7,4,GP AdaNexus,13,1.0,0.0,1.0,0.0,1.0
125,7,4,GP AdaNexus,-1,20071.373733359364,28666.14626530408,134.0,232834.69455770103,48737.51999866344
150,7,4,AP Nexus,0,843.0,1.0,5.0,3372.0,844.0
150,7,4,AP Nexus,1,32169.0,8644.0,10.0,289521.0,40813.0
150,7,4,AP Nexus,2,40398.0,24735.0,10.0,363582.0,65133.0
150,7,4,AP Nexus,3,45022.0,43621.0,10.0,405198.0,88643.0
150,7,4,AP Nexus,4,73094.0,45571.0,10.0,657846.0,118665.0
150,7,4,AP Nexus,5,70503.0,44841.0,9.0,564024.0,115344.0
150,7,4,AP Nexus,6,61791.0,43408.0,9.0,494328.0,105199.0
150,7,4,AP Nexus,7,51917.0,41029.0,9.0,415336.0,92946.0
150,7,4,AP Nexus,8,42397.0,37725.0,7.0,254382.0,80122.0
150,7,4,AP Nexus,9,35049.0,33602.0,7.0,210294.0,68651.0
150,7,4,AP Nexus,10,27129.0,26196.0,6.0,135645.0,53325.0
150,7,4,AP Nexus,11,18738.0,16988.0,5.0,74952.0,35726.0
150,7,4,AP Nexus,12,9413.0,7905.0,4.0,28239.0,17318.0
